Rk,Date,Series,Gm#,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen
120,2017-10-08,ALDS,3,CLE,NYY,L 0-1,32,30,0,5,0,1,0,0,2,0,11,0,0,0,0,2,0,0,-0.760,-4.944,1.749,5,12,"48,614",197
121,2017-10-08,ALDS,3,HOU,BOS,L 3-10,40,38,3,13,0,0,1,3,2,0,6,0,0,0,0,2,0,0,-0.185,-2.085,1.005,10,10,"38,010",218
122,2017-10-08,ALDS,3,NYY,CLE,W 1-0,32,27,1,5,1,0,1,1,4,1,11,1,0,0,0,2,0,0,-0.260,-3.394,1.029,7,10,"48,614",197
123,2017-10-07,NLDS,2,ARI,LAD,L 5-8,37,33,5,7,1,0,2,5,3,0,10,0,1,0,0,0,0,0,-0.067,0.539,.781,5,14,"54,726",228
124,2017-10-07,NLDS,2,CHC,WSN,L 3-6,33,29,3,6,1,0,2,3,3,0,8,0,1,0,0,3,1,0,-0.053,-1.741,.772,3,14,"43,860",186
125,2017-10-07,NLDS,2,LAD,ARI,W 8-5,42,36,8,12,1,0,0,6,5,0,12,1,0,0,1,0,4,1,0.434,4.035,1.007,10,18,"54,726",228
Rk,Date,Series,Gm#,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen
126,2017-10-07,NLDS,2,WSN,CHC,W 6-3,34,30,6,6,0,0,3,6,3,0,4,1,0,0,0,0,1,0,0.445,1.784,1.308,4,17,"43,860",186
127,2017-10-06,NLDS,1,ARI,LAD,L 5-9,37,33,5,8,0,0,4,4,4,0,7,0,0,0,1,3,0,0,-0.143,0.541,.551,5,17,"54,707",217
128,2017-10-06,ALDS,2,BOS,HOU,L 2-8,37,34,2,7,2,0,0,2,3,0,11,0,0,0,0,0,1,0,-0.202,-2.368,.668,8,13,"43,410",240
129,2017-10-06,NLDS,1,CHC,WSN,W 3-0,35,31,3,5,2,0,0,3,2,1,13,1,1,0,1,1,1,0,-0.046,-1.743,.807,5,14,"43,898",182
130,2017-10-06,ALDS,2,CLE,NYY,W 9-8,53,45,9,9,1,0,2,9,5,2,12,2,1,0,2,0,1,0,0.097,2.557,1.639,8,12,"37,681",308
131,2017-10-06,ALDS,2,HOU,BOS,W 8-2,43,36,8,12,3,0,2,7,6,2,5,1,0,0,0,0,0,0,0.297,4.116,.453,11,12,"43,410",240
132,2017-10-06,NLDS,1,LAD,ARI,W 9-5,41,36,9,12,1,2,1,9,4,1,9,0,1,0,1,0,0,0,0.357,5.035,.384,8,15,"54,707",217
133,2017-10-06,ALDS,2,NYY,CLE,L 8-9,54,48,8,11,1,0,3,8,5,0,12,0,1,0,2,1,0,1,-0.405,0.586,1.341,7,11,"37,681",308
134,2017-10-06,NLDS,1,WSN,CHC,L 0-3,33,29,0,2,0,0,0,0,3,0,9,1,0,0,1,1,0,0,-0.546,-4.743,.951,6,12,"43,898",182
